INFO 2025-05-04 15:50:53,069 autoreload Watching for file changes with StatReloader
WARNING 2025-05-04 16:14:58,170 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:15:54,800 log Forbidden: /api/events/
WARNING 2025-05-04 16:15:54,802 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:15:54,817 log Forbidden: /api/events/
WARNING 2025-05-04 16:15:54,818 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:15:55,868 log Forbidden: /api/events/
WARNING 2025-05-04 16:15:55,869 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:15:55,930 log Forbidden: /api/events/
WARNING 2025-05-04 16:15:55,931 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:15:57,994 log Forbidden: /api/events/
WARNING 2025-05-04 16:15:57,997 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:15:58,063 log Forbidden: /api/events/
WARNING 2025-05-04 16:15:58,064 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:16:57,522 log Forbidden: /api/events/
WARNING 2025-05-04 16:16:57,525 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:16:57,548 log Forbidden: /api/events/
WARNING 2025-05-04 16:16:57,550 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:16:58,622 log Forbidden: /api/events/
WARNING 2025-05-04 16:16:58,623 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:16:58,639 log Forbidden: /api/events/
WARNING 2025-05-04 16:16:58,640 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:17:00,788 log Forbidden: /api/events/
WARNING 2025-05-04 16:17:00,789 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:17:00,801 log Forbidden: /api/events/
WARNING 2025-05-04 16:17:00,803 basehttp "POST /api/events/ HTTP/1.1" 403 63
